u,profile,dfa_lags,dfa_transform,dfa_ext_transform
0.10638720146640526,0.02651703571894551,3.3010299956639813,2.6255551872418703,2.353250300733479
0.12460575737875831,0.07125262735024407,3.0,2.564977626547354,2.440131190855052
0.15456711054399339,0.1459495721467777,2.6989700043360187,2.3405253458956006,2.441306893116224
0.1976459132130411,0.263725319612359,2.3010299956639813,2.038333890483648,2.26583656487588
0.25656103193127666,0.4404161857961759,2.0,1.803487435014076,1.963392582922189
0.33544507568096926,0.6959910957296854,1.6989700043360187,1.4922175112170357,1.8234452830926116
0.44007332512722386,1.0561942551094496,,,
0.5782474989867434,1.5545715883487334,,,
0.7603479351340603,2.235049357735334,,,
1.0000816693939114,3.1552608613817856,,,
1.315463127698151,4.390853823332477,,,
1.730064026588681,6.041047684173698,,,
2.274546310617815,8.235723829044053,,,
2.9884146815231367,11.14426834481973,,,
3.921722014410304,14.986120193482574,,,
5.135980074896436,20.04223010263155,,,
6.702473704545811,26.6648336414299,,,
8.694064528275126,35.27902800395756,,,
11.162950250268217,46.36210808847832,,,
14.0926647802584,60.37490270298926,,,
17.31454547741923,77.60957801466103,,,
20.40611802460242,97.935825873516,,,
22.662060087544752,120.51801579531329,,,
23.2921104518441,143.73025608140992,,,
21.856644853834986,165.50703076949745,,,
18.591126843179065,184.01828744692907,,,
14.257003172518427,198.19542045370002,,,
9.685552831429856,207.80110311938242,,,
5.451239650833125,213.17247260446808,,,
1.821097252323629,214.91369969104426,,,
-1.1500019356009719,213.68382758969582,,,
-3.5130300288155456,210.0909273951328,,,
-5.3551964677195905,204.65586076166576,,,
-6.765064198551026,197.81092639736727,,,
-7.819166381754493,189.9118898498653,,,
-8.57955891337913,181.2524607707387,,,
-9.096042143109631,172.07654846188163,,,
-9.409742468934915,162.58693582719926,,,
-9.556424485094624,152.95064117635718,,,
-9.568833921970187,143.30193708863953,,,
-9.477913721871223,133.74415320102085,,,
-9.313058754518211,124.35122428075518,,,
-9.1017389450873,115.16961516992042,,,
-8.868853693396014,106.22089131077695,,,
-8.636116926933218,97.50490421809627,,,
-8.421658377850406,89.0033756744984,,,
-8.239908204384218,80.68359730436673,,,
-8.101740021848505,72.50198711677076,,,
-8.01479382719927,64.40732312382403,,,
-7.9838821064216505,56.34357085165492,,,
-8.01138898578957,48.252311700117886,,,
-8.097592192943797,40.07484934142663,,,
-8.240862408612863,31.754116767066307,,,
-8.437720004946058,23.23652659637279,,,
-8.682754388553727,14.473902042071604,,,
-8.968437509639235,5.4255943666849085,,,
-9.284892179260638,-3.939167978323189,,,
-9.61970744000919,-13.638745584079839,,,
-9.957922966809754,-23.676538716637054,,,
-10.28232187430537,-34.03873075668989,,,
-10.574160086870993,-44.69276100930834,,,
-10.814403174712634,-55.58703434976844,,,
-10.985430177778545,-66.65233469329445,,,
-11.073012946520963,-77.80521780556288,,,
-11.068233418897623,-88.95332139020796,,,
-10.96892478818846,-100.00211634414389,,,
-10.780270531933125,-110.86225704182448,,,
-10.514375679192351,-121.45650288676428,,,
-10.188881578019545,-131.72525463053128,,,
-9.824931260864906,-141.63005605714363,,,
-9.44491939196787,-151.15484561485897,,,
-9.070445593534748,-160.30516137414116,,,
-8.720763184084582,-169.10579472397322,,,
-8.411843551034858,-177.59750844075555,,,
-8.156023182032929,-185.83340178853592,,,
-7.962101704564828,-193.87537365884822,,,
-7.835720291932821,-201.7909641165285,,,
-7.779856062010934,-209.6506903442869,,,
-7.7952993279167115,-217.52585983795106,,,
-7.881019836724048,-225.48674984042256,,,
-8.03436547488402,-233.60098548105404,,,
-8.251069039734354,-241.93192468653587,,,
-8.525067121806085,-250.53686197408942,,,
-8.848164115690285,-259.46489625552715,,,
-9.20960850059143,-268.75437492186603,,,
-9.595690183287939,-278.4299352709014,,,
-9.989513546073926,-288.4993189827228,,,
-10.371138092340443,-298.9503272408107,,,
-10.7182832907587,-309.74848069731684,,,
-11.007736095745544,-320.83608695880986,,,
-11.217457133337387,-332.1334142578947,,,
-11.329164966241747,-343.54244938988387,,,
-11.330947063844947,-354.95326661947627,,,
-11.219302596696757,-366.2524393819205,,,
-11.000063481224156,-377.3323730288921,,,
-10.68789384137027,-388.1001370360098,,,
-10.304453519378624,-398.4844607211359,,,
-9.875670677341342,-408.4400015642247,,,
-9.42875624051164,-417.9486279704838,,,
-8.989556919897064,-427.01805505612833,,,
-8.580639734740116,-435.6785649566159,,,
-8.22024112685254,-443.9786762492159,,,
-7.921997120448776,-451.9805435354121,,,
-7.695245652264186,-459.75565935342377,,,
-7.54565646390639,-467.3811859830776,,,
-7.475969014244636,-474.93702516306973,,,
-7.486671753894826,-482.50356708271204,,,
-7.576512510800771,-490.15994975926026,,,
-7.742777227531431,-497.98259715253914,,,
-7.981310232344084,-506.0437775506307,,,
-8.28627738709849,-514.4099251034767,,,
-8.649701089940562,-523.1394963591647,,,
-9.06083160486439,-532.2801981297765,,,
-9.505469356963461,-541.8655376524874,,,
-9.965418618691936,-551.9108264369269,,,
-10.418323047000028,-562.4090196496744,,,
-10.838177472041222,-573.3270672874631,,,
-11.196778805471313,-584.6037162586819,,,
-11.46622074745635,-596.1498071718856,,,
-11.622238458572134,-607.8519157962053,,,
-11.647838361974355,-619.5796243239271,,,
-11.536361321965174,-631.1958558116397,,,
-11.293105521752555,-642.5688314991397,,,
-10.934964673024353,-653.5836663379115,,,
-10.488118468164359,-664.1516549718233,,,
-9.984390635096709,-674.2159157726675,,,
-9.457207847824533,-683.7529937862395,,,
-8.938047576564982,-692.7709115285519,,,
-8.453944844469493,-701.3047265387688,,,
-8.026226605399271,-709.4108233099156,,,
-7.670321727737479,-717.1610152034006,,,
-7.396325333103364,-724.6372107022514,,,
-7.209965322967671,-731.9270461909665,,,
-7.113673280268526,-739.1205896369825,,,
-7.107547915193697,-746.3080077179236,,,
-7.190081170765334,-753.5779590544364,,,
-7.358579120513341,-761.0164083406972,,,
-7.609250241853261,-768.705528748298,,,
-7.936959089748762,-776.7223580037942,,,
-8.334664518002489,-785.1368926875441,,,
-8.792590994236944,-794.0093538475285,,,
-9.297231746433626,-803.3864557597095,,,
-9.830362007944741,-813.2966879334017,,,
-10.368346224434031,-823.7449043235832,,,
-10.88212790584556,-834.7069023951763,,,
-11.338334489746323,-846.1251070506701,,,
-11.701824754775377,-857.9068019711929,,,
-11.939680065152423,-869.9263522020927,,,
-12.026111569488299,-882.0323339373285,,,
-11.947199367955085,-894.059403471031,,,
-11.704099741786067,-905.8433733785646,,,
-11.31361392518003,-917.2368574694921,,,
