u,profile,dfa_lags,dfa_transform,dfa_ext_transform
8.735959004801952e-17,1.894518357265786e-15,,,
-5.827586677109586e-19,1.894258843680122e-15,,,
5.67850887839283e-17,1.951367177546097e-15,,,
2.7836890778565326e-17,1.9795273134067094e-15,,,
-3.4789337209628624e-17,1.9450612212791276e-15,,,
-3.04118709382184e-17,1.914972595422956e-15,,,
6.451002926288751e-18,1.9217468434312916e-15,,,
2.4868887331386258e-18,1.924556977246477e-15,,,
3.88822004107614e-17,1.9637624227392853e-15,,,
-9.553176392312901e-17,1.868553903898203e-15,,,
6.423897871976614e-18,1.8753010468522266e-15,,,
-2.4909544912854464e-17,1.850714747021419e-15,,,
-1.212138028838794e-16,1.7298241892195864e-15,,,
-9.378348791999613e-18,1.7207690855096338e-15,,,
1.9081958235744878e-17,1.7401742888274258e-15,,,
5.238051745820593e-17,1.7928780513676785e-15,,,
2.3757580104588616e-17,1.816958876554314e-15,,,
-2.1460426751634953e-17,1.795821694884726e-15,,,
5.1662233518934286e-17,1.847807173485707e-15,,,
-2.0758924652630783e-20,1.8481096596431012e-15,,,
4.243296252565143e-17,1.8908658672507995e-15,,,
-2.8866882842426556e-17,1.8623222294904198e-15,,,
2.042365842419569e-17,1.8830691329966623e-15,,,
-3.578544795559968e-17,1.8476069301231095e-15,,,
5.860112742284151e-17,1.906531302627998e-15,,,
-1.0486945513366042e-16,1.8019850925763842e-15,,,
-1.0969415480122091e-16,1.6926141828572102e-15,,,
-2.823330219788034e-17,1.6647041257413769e-15,,,
-1.2281300108829551e-16,1.5422143697351284e-15,,,
-3.23227772672241e-18,1.539305337090453e-15,,,
-1.0570971181733668e-16,1.4339188703551634e-15,,,
-1.3471211993132393e-16,1.2995299955058863e-15,,,
1.4482230518975125e-16,1.4446755457776844e-15,,,
-6.986327748953469e-17,1.3751355133701965e-15,,,
1.5648933700523199e-18,1.3770236518222959e-15,,,
-7.524363077049401e-17,1.302103266133849e-15,,,
7.0513798793026e-17,1.3729403100089217e-15,,,
-7.071708670036703e-17,1.3025464683906016e-15,,,
1.4411757377763568e-16,1.446987287250284e-15,,,
-1.917682592583736e-17,1.4281337064064938e-15,,,
-1.9857840415429817e-17,1.408599111073111e-15,,,
6.085762319432697e-17,1.4697799793494848e-15,,,
-1.590524587036235e-16,1.3110507657279081e-15,,,
3.526198159419652e-18,1.3149002089693748e-15,,,
-3.651050815844936e-17,1.2787129458929725e-15,,,
7.505389539030904e-17,1.3540900863653284e-15,,,
5.9969932665604464e-18,1.3604103247139359e-15,,,
-1.643921544031146e-17,1.3442943543556714e-15,,,
3.7442922026786896e-16,1.7190468197055872e-15,,,
-3.696875298291394e-18,1.7156731894893429e-15,,,
3.9546274241408774e-17,1.7555427088127987e-15,,,
-2.233456475320139e-17,1.7335313891416443e-15,,,
-2.2120434824135504e-16,1.5126502859823363e-15,,,
-1.0207763453951024e-16,1.410895896524873e-15,,,
-1.155623990597987e-16,1.295656742547121e-15,,,
6.06069014419397e-17,1.3565868890711076e-15,,,
-1.1777146098623792e-17,1.3451329880545308e-15,,,
-2.1506166530786686e-18,1.3433056164834992e-15,,,
-2.23955511254037e-18,1.3413893064530059e-15,,,
2.6908542668374613e-17,1.3686210942034275e-15,,,
-4.949382917396328e-17,1.3194505101115113e-15,,,
-9.378348791999613e-18,1.3103954064015587e-15,,,
-8.00276728565863e-18,1.3027158841979471e-15,,,
-1.4741761414013843e-17,1.2882973678659803e-15,,,
2.3174821436877657e-17,1.311795434384905e-15,,,
-3.588031564569216e-17,1.2762383638212599e-15,,,
-3.181455749887152e-17,1.2447470514044354e-15,,,
-4.575333167888829e-17,1.1993169648075941e-15,,,
5.1736772418292665e-18,1.2048138871314705e-15,,,
2.805373121306243e-17,1.23319086342658e-15,,,
-1.127841309928046e-16,1.1207299775158222e-15,,,
4.5028271476038606e-18,1.125556049745473e-15,,,
-2.927345865710862e-18,1.1229519489618092e-15,,,
-4.654615451751831e-17,1.076729039526338e-15,,,
6.667843360785852e-18,1.0837201279691708e-15,,,
-1.8054676677314863e-16,9.03496606278069e-16,,,
1.1768675769151249e-17,9.155885271292673e-16,,,
1.216678125436077e-17,9.280785534656752e-16,,,
7.331917191433224e-18,9.357337157391554e-16,,,
-4.609214485779001e-17,8.899648159634124e-16,,,
-5.734413052911613e-18,8.845536479925478e-16,,,
-4.282259768138841e-17,8.420542953932063e-16,,,
-4.5672016515951874e-18,8.378103388236581e-16,,,
1.6525951614110301e-16,1.003393100046808e-15,,,
6.227386228213616e-17,1.065990207410991e-15,,,
-9.546400128734867e-17,9.708494512056892e-16,,,
-1.1644331332494318e-16,8.547293829627929e-16,,,
-1.78649412971299e-16,6.764032150735409e-16,,,
-8.55842089905745e-18,6.681680392565304e-16,,,
8.95822045016148e-18,6.774495047887388e-16,,,
6.074242671350039e-17,7.385151765842861e-16,,,
1.1752751549742868e-16,8.563659371637617e-16,,,
-7.586027075609514e-18,8.491031551701992e-16,,,
-2.4714388521807074e-16,6.022825150341754e-16,,,
2.5492303580565423e-17,6.280980636967877e-16,,,
3.0086610286472748e-18,6.314299698074819e-16,,,
-3.3881317890172014e-18,6.283650831005117e-16,,,
-3.516880796999855e-17,5.935195202125601e-16,,,
1.4663834382866447e-17,6.085065996774735e-16,,,
7.090682208055199e-17,6.797366668400724e-16,,,
-2.0562571827545395e-17,6.594973400945739e-16,,,
3.543308224954189e-17,6.952536674261628e-16,,,
-5.335884051228465e-18,6.902410284569812e-16,,,
-2.6068285984698347e-17,6.644959875543298e-16,,,
-4.463660344122822e-16,2.1845319822409458e-16,,,
-2.6820451241860166e-17,1.9195599206428136e-16,,,
5.1892626480587456e-17,2.4417186362691575e-16,,,
-2.0128890958551193e-17,2.243662177504115e-16,,,
-3.1577388273640317e-18,2.215317240050944e-16,,,
1.582257545471033e-18,2.2343722663261237e-16,,,
-7.718164215381185e-17,1.4657882956084747e-16,,,
-2.717010644248674e-16,-1.24798989781973e-16,,,
1.7401444868392346e-17,-1.0707429983153372e-16,,,
-1.4894227344519617e-17,-1.216452820940064e-16,,,
-1.7458365482447835e-16,-2.959056918364378e-16,,,
-5.505714157152952e-17,-3.506395883259204e-16,,,
-5.833007687972014e-17,-4.086464201235936e-16,,,
8.673617379884035e-17,-3.215870012427063e-16,,,
-6.228741480929223e-17,-3.835511709699516e-16,,,
-5.738139997879532e-17,-4.406093258667e-16,,,
-7.562310153086393e-18,-4.478483909377394e-16,,,
5.605325231750058e-17,-3.914718935381919e-16,,,
1.666960840196463e-18,-3.894816876159485e-16,,,
-1.8868505933036794e-17,-4.0802694846693837e-16,,,
1.49890950346121e-17,-3.9271460835027933e-16,,,
7.274996577377735e-17,-3.1964139749445505e-16,,,
4.312414141061094e-17,-2.7619401100179717e-16,,,
2.112076653978598e-18,-2.7375868926577163e-16,,,
-2.2090619264392153e-17,-2.9552606344811685e-16,,,
4.5089257848240916e-17,-2.50113560517829e-16,,,
1.6268453598144994e-16,-8.710577945433211e-17,,,
-4.733897735614834e-17,-1.341215117284335e-16,,,
4.8165681512668534e-17,-8.563258513371804e-17,,,
2.660090030193185e-16,1.8069966296764741e-16,,,
7.745269269693322e-18,1.8876817731938767e-16,,,
1.913955647615817e-17,2.0823097887759278e-16,,,
1.030940740762154e-16,3.1164829803585512e-16,,,
-1.1854395503413384e-16,1.9342758808376822e-16,,,
1.4929463915125396e-16,3.430454723170691e-16,,,
-1.3552527156068805e-17,3.2981619024304725e-16,,,
-7.170980931454907e-18,3.229684543936393e-16,,,
5.249571393903252e-17,3.7578741341471874e-16,,,
-1.684850176042474e-16,2.076256408925183e-16,,,
7.85504473965748e-17,2.8649933337114003e-16,,,
7.342759213158079e-17,3.6025017058476775e-16,,,
6.152169702497434e-17,4.2209511269178903e-16,,,
-4.046784608802145e-17,3.819505116858145e-16,,,
7.719519468096792e-17,4.594689514488294e-16,,,
1.073089100217528e-16,5.671011065526291e-16,,,
8.264331059770758e-17,6.500676622323836e-16,,,
-6.784395094328044e-17,5.825469563711501e-16,,,
1.6855955650360577e-18,5.845557970182331e-16,,,
-1.2696007439805257e-16,4.579189677022275e-16,,,
4.03594258707729e-17,4.986016386550473e-16,,,
6.300569874856388e-17,5.6193058248565815e-16,,,
1.802486111757151e-18,5.640563136794622e-16,,,
-6.719342963978914e-17,4.9718612912172e-16,,,
-2.311044693288633e-17,4.743989272708806e-16,,,
3.1712913545201005e-18,4.778934637074477e-16,,,
-3.7787156216551043e-16,1.0034514662398419e-16,,,
-9.542334370588046e-17,5.245048000150673e-18,,,
1.3183898417423734e-16,1.3740727725643495e-16,,,
-8.307699146670178e-17,5.465353087178011e-17,,,
3.3312111749617124e-17,8.828888770344417e-17,,,
2.972069205325889e-17,1.1833282483875e-16,,,
-1.8228149024912543e-17,1.004279208958844e-16,,,
1.7042302898756523e-17,1.1779346887668786e-16,,,
-1.9629480332850058e-16,-7.817808936976578e-17,,,
-6.201636426617085e-17,-1.398712085538897e-16,,,
1.827693812267439e-16,4.3221417754901155e-17,,,
3.312237636943216e-17,7.666703920638025e-17,,,
-1.7889335846010823e-17,5.910094844241637e-17,,,
-2.3561068460825618e-17,3.5863125063637696e-17,,,
-3.293941725282523e-17,3.246952892859409e-18,,,
-7.197747172588143e-17,-6.840727375097508e-17,,,
1.1777146098623792e-17,-5.630688257030434e-17,,,
5.109980364195743e-17,-4.8838338462999595e-18,,,
5.0984607161130846e-17,4.642401839687783e-17,,,
-1.0684812409844646e-16,-6.010086061952169e-17,,,
9.622294280808852e-17,3.6445327270613765e-17,,,
-5.846560215128083e-17,-2.1697029798620123e-17,,,
2.0629656836967936e-16,1.8492278365310618e-16,,,
1.9656585387162195e-16,3.818118826067751e-16,,,
9.662951862277058e-18,3.9179807955109907e-16,,,
5.200782296141404e-19,3.9264140286276015e-16,,,
-6.906706651911565e-18,3.8605794129289553e-16,,,
-5.590417451878382e-18,3.807907689230641e-16,,,
8.063753657860939e-18,3.8917776766297196e-16,,,
-4.302927372051846e-17,3.4647173902450044e-16,,,
-2.057951248649048e-17,3.262154716200569e-16,,,
-2.257851024201063e-16,1.0075361428199754e-16,,,
-8.529621778850804e-18,9.254723758519367e-17,,,
-3.6422416731934915e-18,8.922824099404712e-17,,,
2.630545520992955e-17,1.158569412860236e-16,,,
2.0656761891280073e-16,3.227478052808713e-16,,,
3.016792544940916e-17,3.532389758123274e-16,,,
-1.4173232899816757e-16,2.1182989189620675e-16,,,
8.703432939627387e-17,2.9918746637452756e-16,,,
-2.5847379792054426e-16,4.103691353603024e-17,,,
2.3466200770733137e-17,6.482635938881032e-17,,,
1.0587911840678754e-20,6.516019238269793e-17,,,
8.497434526855141e-18,7.398087199160001e-17,,,
-3.849595338681344e-17,3.5808163686833517e-17,,,
-8.267041565201971e-19,3.5304704612360264e-17,,,
-3.55130421597627e-16,-3.195024719032198e-16,,,
3.524334686935693e-17,-2.839358799518159e-16,,,
1.3162214373974024e-16,-1.5199049113002874e-16,,,
3.241764495731658e-17,-1.1924960109066522e-16,,,
7.261444050221666e-17,-4.6311915506401623e-17,,,
1.020505294851981e-16,5.606185906084342e-17,,,
3.495196753550145e-17,9.133707167839181e-17,,,
-1.8800065670898647e-16,-9.634033994854772e-17,,,
-3.4220131069073734e-18,-9.943910797340816e-17,,,
-2.2890218366600212e-17,-1.2200608125796143e-16,,,
7.890281310263259e-17,-4.278002307328191e-17,,,
1.1441043425153286e-16,7.195365626029789e-17,,,
9.451532438642385e-17,1.6679222572876867e-16,,,
-5.079487178094588e-17,1.1632059902986973e-16,,,
-8.588236458800802e-17,3.076147952390865e-17,,,
-1.9266272605067414e-16,-1.6157800144471855e-16,,,
-2.9300563711420757e-16,-4.542603934768791e-16,,,
-6.1257422745431e-17,-5.151945711402632e-16,,,
-6.207057437479513e-18,-5.210783834956958e-16,,,
6.052558627900329e-17,-4.602295521346455e-16,,,
-1.0713272716872391e-16,-5.670390342213225e-16,,,
-5.987506497551198e-17,-6.265908541147876e-16,,,
5.702903427273753e-17,-5.692385747600031e-16,,,
2.438099635376778e-17,-5.445343333241884e-16,,,
6.323609171021705e-17,-4.809749965319244e-16,,,
7.030373462210693e-18,-4.736213779876668e-16,,,
3.163159838226459e-17,-4.416665345233552e-16,,,
-3.3759345145767394e-17,-4.751026345870757e-16,,,
1.5935061430105701e-16,-3.1542877520397172e-16,,,
2.1797884677821067e-16,-9.712668334371412e-17,,,
1.0237579013694376e-16,5.572351875276575e-18,,,
-5.198749417067994e-17,-4.609189721335642e-17,,,
-1.6540859393981977e-17,-6.230951152529145e-17,,,
3.564314642046096e-17,-2.6343120022783547e-17,,,
-2.1087732254843061e-16,-2.3689719748916724e-16,,,
-1.7055855425912592e-17,-2.536298078330329e-16,,,
-7.799479378317598e-18,-2.6110604212930355e-16,,,
-4.141652298894627e-17,-3.021993200362029e-16,,,
8.692590917902532e-17,-2.1495016577513063e-16,,,
1.7665719147935688e-17,-1.96961201545148e-16,,,
4.248039637069767e-17,-1.541575600924034e-16,,,
1.0367683274392636e-18,-1.5279754668291719e-16,,,
-2.1469913520644202e-16,-3.6717343680731226e-16,,,
-1.0462550964485118e-17,-3.7731274268975044e-16,,,
-2.1216481262825715e-17,-3.982059788705292e-16,,,
6.776263578034403e-19,-3.9720510743067884e-16,,,
5.900770323752358e-17,-3.378741591111083e-16,,,
1.1648397090641138e-16,-2.2106694312265e-16,,,
-8.983970251758011e-17,-3.1058340055818317e-16,,,
1.0695654431569501e-16,-2.0330361116044122e-16,,,
1.271227047239254e-17,-1.9026809560600175e-16,,,
-1.4634018823123096e-16,-3.3628503875518577e-16,,,
-6.318188160159277e-17,-3.991436752747316e-16,,,
7.94178091345632e-18,-3.9087864927922834e-16,,,
-1.460149275794853e-16,-5.365703317766667e-16,,,
1.265128410019023e-17,-5.235958025944295e-16,,,
-6.750513776437872e-17,-5.907776952767613e-16,,,
2.5177207324186823e-17,-5.652772428705276e-16,,,
7.22095587534291e-19,-5.642319022009463e-16,,,
9.622294280808852e-18,-5.542863628380905e-16,,,
-5.250249020261055e-17,-6.064656079586542e-16,,,
2.2573428044327104e-18,-6.038850200721745e-16,,,
3.3779673936501498e-18,-6.001838075964774e-16,,,
1.0459840459053904e-16,-4.952621579238914e-16,,,
1.9166661530470308e-17,-4.757722513113742e-16,,,
1.468416317360055e-17,-4.607648430557267e-16,,,
-6.53740028690869e-18,-4.669789982605885e-16,,,
-5.969888212248309e-17,-5.263546353010246e-16,,,
-5.843172083339065e-17,-5.844631110523683e-16,,,
8.477105736121038e-17,-4.99368808609111e-16,,,
-3.0222135558033436e-17,-5.292676990850975e-16,,,
6.928051882182373e-17,-4.596639351812268e-16,,,
7.96346495690603e-17,-3.797060405301196e-16,,,
7.43152826603033e-17,-3.0506751278776936e-16,,,
-1.2957571213917385e-16,-4.3431997984489627e-16,,,
3.4531839193663316e-17,-3.99464895569186e-16,,,
-1.4354836763708079e-16,-5.426900181242199e-16,,,
-1.5284540126614399e-16,-6.952121743083169e-16,,,
-1.0217334926254998e-18,-6.959106627188955e-16,,,
3.108949729602184e-17,-6.644979203408267e-16,,,
1.3688052427629493e-17,-6.504866228311503e-16,,,
3.6591823321385775e-17,-6.135715544277175e-16,,,
1.0354130747236567e-17,-6.02894178598434e-16,,,
-2.5957324668608034e-18,-6.051666659832479e-16,,,
7.161155349266757e-17,-5.332318674085334e-16,,,
2.981555974335137e-17,-5.030930625831351e-16,,,
1.9144299860662795e-16,-3.113268188944602e-16,,,
4.950060543754131e-17,-2.6150296837487196e-16,,,
-1.11483088385822e-16,-3.72662811678647e-16,,,
4.075922542187693e-18,-3.682636440544124e-16,,,
-9.026660712299628e-17,-4.582070060953617e-16,,,
-8.639736061993863e-19,-4.587477346195142e-16,,,
-2.0911549401814167e-16,-6.675399835556089e-16,,,
-3.0391542147484296e-17,-6.976082806210463e-16,,,
9.099166732584596e-17,-6.062933682131534e-16,,,
-5.914322850908427e-17,-6.651133516401907e-16,,,
1.5619287547369298e-17,-6.491708190107744e-16,,,
4.1931519020876884e-17,-6.069160549078506e-16,,,
1.096128396382845e-16,-4.969799701875192e-16,,,
1.3213713977167085e-16,-3.645195853338014e-16,,,
1.5989271538729977e-16,-2.043036248644547e-16,,,
-7.121853020514157e-18,-2.111022328029219e-16,,,
2.0294909416213036e-17,-1.9048407830466193e-16,,,
-1.0302038220980428e-18,-1.9119103704471304e-16,,,
-4.8213115357714775e-17,-2.3908090732038087e-16,,,
1.5265566588595902e-16,-8.610199635237491e-17,,,
-8.287370355936075e-18,-9.406612162626405e-17,,,
-1.4121733296623695e-16,-2.3496020951045406e-16,,,
6.999202649751735e-17,-1.6464493793088978e-16,,,
-2.4428430198814022e-17,-1.8875012304765686e-16,,,
3.7960628564148724e-17,-1.504662494014612e-16,,,
-2.930056371142076e-17,-1.7944356803083502e-16,,,
6.415766355682972e-17,-1.1496265939195835e-16,,,
-2.432000998156547e-17,-1.3895942429147689e-16,,,
-4.277177570455315e-17,-1.814079549139831e-16,,,
4.904320764602399e-18,-1.7618038906733376e-16,,,
9.920449878242366e-17,-7.665264520286316e-17,,,
2.6190258729102966e-18,-7.371037424790593e-17,,,
1.3349239248727773e-17,-6.003788991713122e-17,,,
8.158621347953421e-18,-5.155602348713085e-17,,,
-1.4013313079375145e-17,-6.524609148445905e-17,,,
-1.6202046215080257e-16,-2.269433085532147e-16,,,
-6.0732262318133334e-18,-2.326932897029811e-16,,,
5.693755471443407e-18,-2.2667628914949074e-16,,,
6.117610758249459e-17,-1.6517693648494922e-16,,,
2.223969706310891e-17,-1.4261399433979337e-16,,,
2.5709144015062524e-17,-1.165816052426839e-16,,,
-1.801003804099456e-18,-1.1805936396473642e-16,,,
-5.4216884887853256e-17,-1.7195300377054274e-16,,,
-9.311263782577073e-17,-2.6474239651426653e-16,,,
-1.0760706561918632e-16,-3.720262170514059e-16,,,
-2.756584023544395e-16,-6.473613743237985e-16,,,
2.2429432443293873e-18,-6.447951859974221e-16,,,
5.3369851940598956e-17,-5.9110208897477625e-16,,,
-1.666960840196463e-18,-5.924458047329258e-16,,,
-1.0176253828313164e-17,-6.02298813479192e-16,,,
-1.360673726469308e-17,-6.155823056618381e-16,,,
-1.888544659198188e-17,-6.341445071717731e-16,,,
-4.4919851258790056e-17,-6.787411133485162e-16,,,
-2.1094508518421096e-17,-6.995123767848904e-16,,,
-1.2419535885821453e-16,-8.23384490561058e-16,,,
1.4844082994042163e-16,-6.746204155385894e-16,,,
-7.317009411561548e-17,-7.474672645721579e-16,,,
8.402566836762659e-19,-7.463037628064347e-16,,,
1.421117997585375e-16,-6.038687179658503e-16,,,
-1.691355389077387e-17,-6.204590267745772e-16,,,
6.139294801699169e-18,-6.139964868908311e-16,,,
6.131163285405528e-17,-5.523616089547289e-16,,,
-9.086969458144134e-18,-5.611253333308261e-16,,,
3.3989738107420564e-17,-5.268123501413586e-16,,,
1.8206973201231186e-18,-5.246684077391885e-16,,,
1.032702569292443e-17,-5.140181369642172e-16,,,
-1.682681771697503e-16,-6.819630690519205e-16,,,
1.8062808193608504e-16,-5.010117420337885e-16,,,
2.337810934421869e-18,-4.983506860173197e-16,,,
3.054061994620105e-17,-4.674868209890717e-16,,,
-3.152859917587847e-16,-7.824495676658095e-16,,,
-2.599374708533997e-17,-8.081200696691025e-16,,,
-4.197217660234509e-17,-8.497690011894007e-16,,,
3.969535204012553e-17,-8.097504040672282e-16,,,
5.766600304907277e-17,-7.517611559361085e-16,,,
8.21960772015573e-17,-6.692418336525043e-16,,,
-5.557891386703817e-17,-7.244975024374955e-16,,,
1.0538445116559103e-16,-6.187898061898575e-16,,,
-1.646293236283458e-17,-6.349294934706452e-16,,,
-1.6563898690147294e-16,-8.002452352900712e-16,,,
2.38524477946811e-16,-5.613975122612132e-16,,,
8.809142651444724e-19,-5.601933529140218e-16,,,
4.7813315806610746e-17,-5.120567920253642e-16,,,
-8.875550034509461e-17,-6.004890472884118e-16,,,
-1.347663300399482e-16,-7.349321322463131e-16,,,
6.934828145760408e-17,-6.652606057066621e-16,,,
-1.2061749168901237e-18,-6.661435355415053e-16,,,
3.156044761469523e-17,-6.342598428447631e-16,,,
2.200930410145574e-17,-6.119272936612604e-16,,,
-1.1966881478808755e-16,-7.31272863367301e-16,,,
-3.511798599316329e-17,-7.660676042784174e-16,,,
-2.1738253558334364e-17,-7.874826127547048e-16,,,
-1.6788870640938036e-16,-9.550480740820382e-16,,,
-1.003564635906895e-17,-9.647604753590601e-16,,,
1.315950386854281e-17,-9.512777264084703e-16,,,
-4.526544070126981e-17,-9.96219922027693e-16,,,
3.88822004107614e-17,-9.570144765348846e-16,,,
3.938364391553595e-17,-9.173075875373016e-16,,,
-5.711034943567395e-17,-9.740946918909287e-16,,,
3.8299441743050444e-17,-9.354720050658313e-16,,,
-2.3107058801097313e-18,-9.37459465863894e-16,,,
-1.873848637563326e-18,-9.390100694194102e-16,,,
-2.236166980751353e-18,-9.409229913181146e-16,,,
-4.555682003512529e-17,-9.861565662711928e-16,,,
2.935477382004503e-17,-9.564785473691007e-16,,,
-1.9651164376299768e-16,-1.1526669460500516e-15,,,
5.543661233189945e-17,-1.0969070886361053e-15,,,
8.771195575407731e-17,-1.0088718877999811e-15,,,
3.4203190410128648e-18,-1.0051283236769212e-15,,,
5.4074583352714534e-17,-9.507304952421597e-16,,,
-6.123031769111886e-17,-1.0116375678512317e-15,,,
2.422514229147299e-18,-1.0088918085400374e-15,,,
-2.9688504801263227e-19,-1.008865448506003e-15,,,
-9.38173692378863e-18,-1.0179239403477445e-15,,,
1.5791404642251372e-16,-8.596866488431839e-16,,,
-3.1035287187397564e-17,-8.903986909485345e-16,,,
