u,profile,dfa_lags,dfa_transform,dfa_ext_transform
4.1096048823246765,-166.0645551157936,3.3010299956639813,4.47539172736699,4.375340773291057
3.1143626134979683,-333.1243525004139,3.0,3.858754489550974,3.9974186215258825
3.35789890582707,-499.9406135927052,2.6989700043360187,3.261875243726276,3.4639652165834676
3.8424807514859025,-666.2722928393375,2.3010299956639813,2.4682102740804095,2.699085751719674
2.2996862053217195,-834.1467666321341,2.0,1.8801784691887031,2.14185897536358
5.321854448211372,-998.999072182041,1.6989700043360187,1.2636447697589621,1.5846944342348335
4.127345350579468,-1165.0458868295798,,,
5.445559706541726,-1329.7744871211564,,,
6.759840931874525,-1493.1888061874001,,,
6.868924641288982,-1656.4940415442295,,,
8.66231661466345,-1818.0058849276843,,,
7.306142705851849,-1980.8739022199507,,,
8.171333978500572,-2142.8767282395684,,,
9.70795804442528,-2303.3429301932615,,,
8.339305482317208,-2465.1777847090625,,,
8.259545723521683,-2627.092398983659,,,
10.089092136979747,-2787.177466844798,,,
9.854683100043273,-2947.496943742873,,,
10.503632031726948,-3107.1674717092646,,,
11.053078820863309,-3266.2885528865195,,,
9.800854414933589,-3426.6618584697044,,,
13.448842815021408,-3583.3871756528015,,,
11.258978678892827,-3742.302356972027,,,
10.564496108962885,-3901.9120208611826,,,
11.330952121069215,-4060.755228738232,,,
11.318015859843792,-4219.611372876507,,,
10.443656534329953,-4379.341876340295,,,
14.126752246943148,-4535.3892840914705,,,
11.501649410583465,-4694.061794679005,,,
12.158742940081659,-4852.077211737042,,,
12.47341674881443,-5009.777954986345,,,
15.73174858217891,-5164.2203664022845,,,
10.459352886099744,-5323.935173514303,,,
13.762509683981486,-5480.3468238284395,,,
12.273398557905159,-5638.247585268653,,,
13.275299111309653,-5795.1464461554615,,,
13.967754295841205,-5951.352851857739,,,
14.990967338679578,-6106.536044517177,,,
16.4357808434063,-6260.274423671889,,,
20.13134853044655,-6410.317235139561,,,
19.39454015788612,-6561.096854979793,,,
16.377942009487406,-6714.893072968423,,,
20.063689226734056,-6865.003543739807,,,
18.50338471209303,-7016.674319025833,,,
17.38285334238282,-7169.465625681569,,,
18.23934202240621,-7321.40044365728,,,
18.32039565274615,-7473.254208002652,,,
19.69794156185921,-7623.730426438911,,,
19.42070941616736,-7774.483877020863,,,
19.344236787754998,-7925.313800231226,,,
22.042471755193755,-8073.445488474151,,,
21.959135982289496,-8221.66051248998,,,
19.07089455668728,-8372.76377793141,,,
23.562623280374396,-8519.375314649154,,,
21.757647880339782,-8667.791826766934,,,
23.566639145704613,-8814.399347619348,,,
22.433991683800194,-8962.139515933666,,,
22.365208638246223,-9109.948467293538,,,
25.708242205432903,-9254.414385086224,,,
23.159068575465245,-9401.429476508876,,,
27.505809213755246,-9544.097827293239,,,
25.95842429937344,-9688.313562991983,,,
24.344312495803468,-9834.143410494298,,,
26.30839962639866,-9978.009170866018,,,
24.966774931751374,-10123.216555932386,,,
26.917171069002922,-10266.473544861501,,,
26.402102862617983,-10410.245601997001,,,
28.0964902165828,-10552.323271778538,,,
26.997876042580526,-10695.499555734075,,,
30.503766532710014,-10835.169949199484,,,
25.985030291375484,-10979.359078906227,,,
27.677092538426084,-11121.856146365919,,,
28.703018801966934,-11263.32728756207,,,
30.926540687567016,-11402.574906872622,,,
31.67528652727644,-11541.073780343464,,,
30.459958871052017,-11680.78798147053,,,
31.496997744843217,-11819.465143723804,,,
36.22696535339306,-11953.41233836853,,,
34.338073644097506,-12089.24842472255,,,
32.74526133576293,-12226.677323384905,,,
33.37019549526616,-12363.481287887758,,,
33.12393228005918,-12500.531515605817,,,
33.505910302477986,-12637.199765301457,,,
37.98535687336156,-12769.388568426213,,,
35.68125161171589,-12903.881476812616,,,
35.963642933439864,-13038.091993877295,,,
39.593747132837834,-13168.672406742575,,,
38.64350083227936,-13300.203065908414,,,
36.097881155823366,-13434.279344750708,,,
36.92002372626739,-13567.53348102256,,,
36.41428757931386,-13701.293353441364,,,
38.33013599146277,-13833.13737744802,,,
39.74178461635559,-13963.569752829782,,,
40.59227867676835,-14093.151634151132,,,
41.64355596294608,-14221.682238186304,,,
41.25201460863397,-14350.604383575788,,,
40.26239479232149,-14480.516148781586,,,
41.91757373185079,-14608.772735047853,,,
42.2350802431563,-14736.711814802815,,,
42.356799577369515,-14864.529175223564,,,
42.33251539274001,-14992.370819828942,,,
40.388078269616884,-15122.156901557444,,,
43.8133815420369,-15248.517680013525,,,
41.62378650450484,-15377.068053507139,,,
42.87959189533174,-15504.362621609926,,,
42.81320561978872,-15631.723575988255,,,
45.617074420572514,-15756.280661565801,,,
44.09416766156371,-15882.360653902355,,,
42.89717141739928,-16009.637642483074,,,
44.66756477681701,-16135.144237704375,,,
43.89453890064239,-16261.42385880185,,,
46.62241281670906,-16384.97560598326,,,
42.98538045271743,-16512.164385528664,,,
45.28208971702285,-16637.056455809758,,,
47.798246320281,-16759.432369487597,,,
47.5522828674713,-16882.054246618245,,,
48.14061717313179,-17004.08778944323,,,
46.93208350315908,-17127.32986593819,,,
49.59504315878806,-17247.90898277752,,,
50.619628280867076,-17367.46351449477,,,
49.64940664248488,-17487.988267850404,,,
51.02256639841645,-17607.139861450105,,,
49.976098944320796,-17727.337922503903,,,
52.971783608070226,-17844.54029889395,,,
51.2869743346885,-17963.42748455738,,,
51.50852146480878,-18082.093123090686,,,
53.502300836014825,-18198.76498225279,,,
50.79186474316511,-18318.147277507742,,,
50.000913916886304,-18438.320523588973,,,
50.841309528145736,-18557.653374058944,,,
53.75898169565551,-18674.06855236141,,,
51.45215230625463,-18792.790560053272,,,
55.43131851075894,-18907.533401540633,,,
54.07695783131452,-19023.630603707436,,,
54.58025870484646,-19139.224505000708,,,
54.67069153322823,-19254.727973465597,,,
58.508772687926445,-19366.39336077579,,,
59.290520408902175,-19477.277000365008,,,
57.71189949914583,-19589.73926086398,,,
57.79987408764784,-19702.11354677445,,,
58.07631478924765,-19814.21139198332,,,
58.050764377308425,-19926.33478760413,,,
61.14362721974844,-20035.365320382498,,,
60.62103504222186,-20144.918445338393,,,
62.1661295976517,-20252.92647573886,,,
60.31606894065798,-20362.78456679632,,,
60.97108847694433,-20471.987638317492,,,
60.34228200797076,-20581.81951630764,,,
63.540456087575734,-20688.453220218184,,,
63.50143710211434,-20795.125943114188,,,
62.34325595299492,-20902.956847159312,,,
63.514425589661634,-21009.616581567767,,,
64.42833721826361,-21115.362404347623,,,
64.3848822408721,-21221.151682104868,,,
64.94002938505265,-21326.385812717934,,,
63.105046910878215,-21433.454925805174,,,
61.82654207864118,-21541.80254372465,,,
61.98178162966835,-21649.9949220931,,,
65.9713765607678,-21754.197705530452,,,
65.72716648073055,-21858.64469904784,,,
