    .20   96.2326400  9.4365350 12.1118200
    .41   98.5477300  9.0076380 12.3027000
    .61   99.4737700  9.2935700 12.1663600
    .82   98.0847100  9.4365350 12.0300100
   1.02   95.7696200  9.3956880 12.0027400
   1.23   95.3066000  9.1301800 12.1663600
   1.43   96.6956600  9.2118750 12.4117800
   1.64   98.0847100  9.6816190 12.2754300
   1.84   97.6217000  9.4161110 12.1118200
   2.05   97.6217000  9.1914510 12.0845500
   2.25   97.6217000  9.1710270 12.2208900
   2.46   98.0847100  9.5795000 12.4935900
   2.66   97.1586800  9.8245850 12.3299700
   2.87   96.6956600  9.5590770 12.1936200
   3.07   96.2326400  9.3752640 12.1390800
   3.28   98.0847100  9.3344160 12.2481600
   3.48   99.4737700  9.7837370 12.4663200
   3.69   99.4737700  9.8041610 12.2208900
   3.89   97.1586800  9.6203480 12.0845500
   4.10   95.7696200  9.4773830 12.0027400
   4.30   96.6956600  9.2322990 12.1118200
   4.51   99.0107500  9.5590770 12.2754300
   4.71  100.3998000  9.9471260 12.0845500
   4.92   99.9367900  9.8245850 11.9209300
   5.12   98.0847100  9.7224660 11.8391200
   5.33   96.6956600  9.4365350 11.9482000
   5.53   98.0847100  9.5386530 12.1663600
   5.74   99.0107500 10.0084000 11.9482000
   5.94   98.5477300 10.1105200 11.8391200
   6.15   99.0107500  9.9062800 11.8391200
   6.35   99.9367900  9.5795000 11.9754700
   6.56   99.9367900  9.8245850 12.1390800
   6.76   98.5477300 10.1513600 11.9482000
   6.97   97.6217000 10.1105200 11.8936600
   7.17   97.1586800  9.9267020 11.9209300
   7.38   98.5477300  9.7633130 12.1390800
   7.58  100.8628000 10.4577200 12.3027000
   7.79  101.3258000 10.6415300 12.1390800
   7.99   99.4737700 10.4168700 12.0027400
   8.20   97.1586800 10.2534800 12.0300100
   8.40   97.6217000 10.2943300 12.2208900
   8.61   99.4737700 10.7845000 12.4117800
   8.81  100.3998000 10.9070400 12.1936200
   9.02   99.4737700 10.6211100 12.1118200
   9.22   98.5477300 10.4577200 12.0845500
   9.43   98.0847100 10.5598400 12.2481600
   9.63   98.0847100 10.9274600 12.4117800
   9.84   98.0847100 10.8866100 12.1390800
  10.04   97.1586800 10.6211100 12.0027400
  10.24   97.1586800 10.4168700 12.0027400
  10.45   98.5477300 10.2739000 12.1936200
  10.65   99.4737700 10.6823800 12.2754300
  10.86   98.0847100 10.7232300 12.0027400
  11.06   95.3066000 10.5189900 11.8936600
  11.27   93.9175400 10.3556000 11.8663900
  11.47   95.7696200 10.0696700 12.0572800
  11.68   98.0847100 10.4372900 12.1390800
  11.88   98.5477300 10.8049200 11.9209300
  12.09   97.1586800 10.6006800 11.7845800
  12.29   96.2326400 10.3556000 11.8118500
  12.50   95.7696200 10.2330600 12.0027400
  12.70   97.1586800 10.6211100 12.1118200
  12.91   97.6217000 10.7028000 11.8936600
  13.11   97.6217000 10.5189900 11.8391200
  13.32   98.0847100 10.2943300 11.8663900
  13.52   99.0107500 10.3147500 12.0845500
  13.73   99.0107500 10.9887300 12.1936200
  13.93   97.6217000 11.0500000 12.0027400
  14.14   95.7696200 10.8253400 11.9754700
  14.34   95.7696200 10.6823800 12.0572800
  14.55   98.0847100 10.9070400 12.3299700
  14.75   99.9367900 11.3563600 12.4390500
  14.96   99.9367900 11.2746600 12.2754300
  15.16   98.0847100 11.1317000 12.2208900
  15.37   97.1586800 11.1112700 12.3027000
  15.57   97.1586800 11.2542400 12.5208600
  15.78   98.5477300 11.4993200 12.5481300
  15.98   99.0107500 11.3155100 12.2754300
  16.19   98.5477300 11.1112700 12.1936200
  16.39   98.0847100 11.0704300 12.2208900
  16.60   98.5477300 11.2133900 12.4663200
  16.80   98.0847100 11.5197500 12.4935900
  17.01   96.6956600 11.3155100 12.2754300
  17.21   95.7696200 11.1112700 12.1936200
  17.42   96.2326400 11.0091600 12.2208900
  17.62   97.6217000 11.0500000 12.4117800
  17.83   98.5477300 11.2746600 12.3572400
  18.03   97.1586800 11.1521200 12.1390800
  18.24   94.3805600 10.8866100 12.0572800
  18.44   93.4545200 10.6823800 12.1390800
  18.65   94.8435800 10.8661900 12.3572400
  18.85   97.1586800 11.1521200 12.3572400
  19.06   97.1586800 11.0295800 12.1118200
  19.26   96.2326400 10.7845000 12.0572800
  19.47   95.3066000 10.6619500 12.1663600
  19.67   95.3066000 10.8457700 12.4117800
  19.88   95.3066000 11.2338200 12.4117800
  20.08   95.7696200 11.0704300 12.2754300
  20.28   95.3066000 10.9478900 12.2481600
  20.49   96.2326400 10.9274600 12.3845100
  20.69   98.0847100 11.1929700 12.7117500
  20.90   98.5477300 11.5810200 12.6844800
  21.10   96.6956600 11.4380500 12.5481300
  21.31   94.8435800 11.2950900 12.5481300
  21.51   95.7696200 11.2746600 12.6572100
  21.72   98.0847100 11.4789000 12.9026400
  21.92  100.3998000 11.7444100 12.8753700
  22.13   99.9367900 11.6422900 12.6844800
  22.33   98.0847100 11.4993200 12.6572100
