    .20  138.8304000 14.1748200 12.2481600
    .41  139.7564000 13.9093200 11.9754700
    .61  138.8304000 13.6029600 11.7027700
    .82  137.9043000 13.5212700 11.6482300
   1.02  137.4413000 13.7255000 11.8663900
   1.23  138.3674000 14.0727100 12.1390800
   1.43  139.2934000 13.9705900 11.9482000
   1.64  139.2934000 13.6438100 11.7300400
   1.84  137.4413000 13.4191500 11.7027700
   2.05  137.9043000 13.5008400 11.8936600
   2.25  138.8304000 13.8276200 12.1118200
   2.46  139.2934000 13.8684700 11.8391200
   2.66  138.8304000 13.8276200 11.6209600
   2.87  137.9043000 13.8480500 11.5664200
   3.07  137.9043000 14.1135500 11.8391200
   3.28  138.8304000 14.4607600 12.0845500
   3.48  139.7564000 14.3586400 11.8936600
   3.69  139.2934000 14.1544000 11.7027700
   3.89  138.3674000 14.0522800 11.6755000
   4.10  138.3674000 14.1952500 11.9209300
   4.30  139.7564000 14.4607600 12.1118200
   4.51  139.7564000 14.2565200 11.8663900
   4.71  139.2934000 14.0114300 11.6755000
   4.92  138.3674000 13.8276200 11.5936900
   5.12  138.8304000 13.8888900 11.8118500
   5.33  139.7564000 14.0522800 12.0027400
   5.53  140.2194000 13.8480500 11.8118500
   5.74  139.2934000 13.6233900 11.6209600
   5.94  138.3674000 13.5008400 11.5118800
   6.15  138.8304000 13.6438100 11.6755000
   6.35  139.7564000 13.8276200 11.7845800
   6.56  140.2194000 13.6233900 11.5391500
   6.76  139.2934000 13.4395700 11.3755300
   6.97  138.3674000 13.4191500 11.3482600
   7.17  139.2934000 13.6029600 11.5664200
   7.38  140.2194000 13.8072000 11.6482300
   7.58  140.6824000 13.5825400 11.4300700
   7.79  140.2194000 13.4191500 11.3209900
   7.99  139.7564000 13.3170300 11.3482600
   8.20  139.7564000 13.5416900 11.6482300
   8.40  141.1455000 13.7050800 11.7573100
   8.61  141.1455000 13.5008400 11.5936900
   8.81  140.6824000 13.3374500 11.5118800
   9.02  140.2194000 13.3170300 11.5936900
   9.22  140.2194000 13.5416900 11.8936600
   9.43  141.6085000 13.7867700 12.0572800
   9.63  141.6085000 13.5825400 11.8391200
   9.84  141.6085000 13.3783000 11.7573100
  10.04  141.1455000 13.3170300 11.8118500
  10.24  141.1455000 13.6029600 12.1118200
  10.45  141.6085000 13.8888900 12.2481600
  10.65  142.5345000 13.8276200 12.0300100
  10.86  141.6085000 13.6846600 11.8391200
  11.06  141.1455000 13.6029600 11.8391200
  11.27  141.6085000 13.8276200 12.1390800
  11.47  142.5345000 14.0318600 12.1936200
  11.68  142.5345000 13.8276200 12.0300100
  11.88  142.0715000 13.5621100 11.8118500
  12.09  141.6085000 13.3783000 11.7573100
  12.29  142.0715000 13.5212700 11.9482000
  12.50  142.9975000 13.7050800 11.9754700
  12.70  142.9975000 13.5825400 11.7300400
  12.91  141.6085000 13.3783000 11.5936900
  13.11  141.1455000 13.2353400 11.5936900
  13.32  142.0715000 13.3783000 11.9209300
  13.52  142.5345000 13.3987300 11.9754700
  13.73  142.5345000 13.0923700 11.8391200
  13.93  141.1455000 12.8064400 11.7027700
  14.14  141.1455000 12.7860200 11.7027700
  14.34  141.1455000 13.1127900 11.9754700
  14.55  142.0715000 13.3987300 11.9482000
  14.75  141.6085000 13.3783000 11.7845800
  14.96  140.6824000 13.3578800 11.6482300
  15.16  139.7564000 13.5008400 11.7027700
  15.37  140.6824000 13.8684700 12.0027400
  15.57  141.6085000 13.9910100 11.9482000
  15.78  141.1455000 13.8480500 11.7845800
  15.98  140.2194000 13.7255000 11.7027700
  16.19  139.7564000 13.7867700 11.7573100
  16.39  140.2194000 14.0522800 12.0300100
  16.60  141.1455000 14.0931300 11.9754700
  16.80  141.1455000 13.8072000 11.8118500
  17.01  140.2194000 13.6029600 11.7300400
  17.21  139.2934000 13.6438100 11.7845800
  17.42  140.2194000 13.9297400 12.0845500
  17.62  141.6085000 14.0318600 12.0027400
  17.83  142.0715000 13.7050800 11.7573100
  18.03  141.1455000 13.4191500 11.6209600
  18.24  140.6824000 13.3374500 11.6482300
  18.44  140.6824000 13.7459300 11.9482000
  18.65  141.6085000 14.0522800 11.8936600
  18.85  141.1455000 13.9705900 11.7027700
  19.06  140.2194000 13.8276200 11.5391500
  19.26  139.7564000 13.8888900 11.6482300
  19.47  140.2194000 14.1544000 11.8663900
  19.67  141.6085000 14.1748200 11.7573100
  19.88  141.1455000 13.8276200 11.4846100
  20.08  140.2194000 13.5621100 11.3755300
  20.29  139.2934000 13.5825400 11.5118800
  20.49  140.6824000 13.9297400 11.8391200
  20.69  140.6824000 13.9705900 11.7027700
  20.90  141.1455000 13.7867700 11.4573400
  21.10  139.2934000 13.5621100 11.3209900
  21.31  139.2934000 13.5825400 11.4028000
  21.51  139.2934000 13.8276200 11.7300400
  21.72  140.6824000 13.8888900 11.5936900
  21.92  139.7564000 13.7255000 11.3755300
  22.13  139.2934000 13.6438100 11.2664500
  22.33  138.8304000 13.8072000 11.4300700
  22.54  139.7564000 14.2156700 11.7300400
  22.74  140.2194000 14.3382100 11.6209600
  22.95  139.7564000 14.1544000 11.3755300
  23.15  139.2934000 14.0522800 11.2391800
  23.36  138.8304000 14.0727100 11.2937200
  23.56  139.7564000 14.2769400 11.5664200
  23.77  139.7564000 14.1952500 11.4573400
  23.97  140.2194000 13.9093200 11.2664500
  24.18  138.8304000 13.6438100 11.1573700
  24.38  138.8304000 13.6029600 11.2391800
  24.59  139.2934000 13.7255000 11.5118800
  24.79  140.2194000 13.6438100 11.3482600
  25.00  139.2934000 13.4600000 11.1573700
  25.20  138.3674000 13.4600000 11.0755600
  25.41  137.9043000 13.5621100 11.2119100
  25.61  138.8304000 13.7867700 11.4300700
  25.82  139.7564000 13.5825400 11.2119100
  26.02  139.2934000 13.2761800 10.9937500
  26.23  137.9043000 13.0719500 10.9392100
  26.43  137.4413000 13.1536400 11.1846400
  26.64  138.3674000 13.5212700 11.5391500
  26.84  138.8304000 13.6233900 11.4300700
  27.05  138.3674000 13.6029600 11.3209900
  27.25  136.9783000 13.6233900 11.3482600
  27.46  136.9783000 13.8276200 11.6209600
  27.66  137.4413000 14.1952500 11.8936600
  27.87  138.3674000 14.1339800 11.7027700
  28.07  137.9043000 13.8888900 11.5391500
  28.28  136.9783000 13.7255000 11.4846100
  28.48  136.5153000 13.8072000 11.7300400
  28.69  136.9783000 14.1952500 12.0572800
  28.89  137.9043000 14.0727100 11.7845800
  29.10  137.4413000 13.8072000 11.5664200
  29.30  136.0523000 13.5825400 11.5118800
  29.51  136.5153000 13.6846600 11.7300400
  29.71  137.4413000 13.9910100 12.0300100
  29.92  137.9043000 13.8480500 11.8391200
  30.12  137.4413000 13.5825400 11.6482300
  30.33  136.5153000 13.4191500 11.5664200
  30.53  136.0523000 13.5212700 11.7300400
  30.73  137.4413000 13.8480500 12.0027400
  30.94  137.9043000 13.6846600 11.7300400
  31.14  137.4413000 13.3987300 11.4300700
  31.35  136.5153000 13.2353400 11.2937200
  31.55  136.5153000 13.3783000 11.4300700
  31.76  136.9783000 13.6642300 11.6755000
  31.96  137.9043000 13.5416900 11.4846100
  32.17  136.9783000 13.4191500 11.3755300
  32.37  135.5892000 13.3987300 11.3209900
  32.58  135.5892000 13.6846600 11.5936900
  32.78  136.0523000 14.0318600 11.7573100
  32.99  136.9783000 13.8888900 11.5391500
  33.19  136.0523000 13.6438100 11.3482600
  33.40  135.1262000 13.5621100 11.3482600
  33.60  134.6632000 13.7867700 11.6482300
  33.81  135.5892000 14.1748200 11.9209300
  34.01  136.0523000 14.0318600 11.6482300
  34.22  135.5892000 13.8480500 11.5118800
  34.42  134.6632000 13.7867700 11.5391500
  34.63  134.6632000 14.0931300 11.8391200
  34.83  134.6632000 14.5016000 12.1118200
  35.04  135.1262000 14.3790600 11.8391200
  35.24  134.2002000 14.0931300 11.6482300
  35.45  133.7372000 13.8888900 11.5664200
  35.65  133.2741000 13.8888900 11.8936600
  35.86  133.7372000 13.9910100 12.0845500
  36.06  133.7372000 13.7255000 11.8663900
  36.27  133.2741000 13.4600000 11.6755000
  36.47  133.2741000 13.3578800 11.6209600
  36.68  133.2741000 13.5212700 11.8391200
  36.88  133.2741000 13.6846600 11.9754700
  37.09  133.7372000 13.5212700 11.7300400
  37.29  133.7372000 13.2966100 11.5391500
  37.50  133.2741000 13.1944900 11.5391500
  37.70  133.2741000 13.3578800 11.7845800
  37.91  133.7372000 13.4804200 11.8391200
  38.11  133.7372000 13.2353400 11.5391500
  38.32  133.7372000 13.0106800 11.4028000
  38.52  133.2741000 12.9494000 11.4573400
  38.73  133.7372000 13.1332200 11.7573100
  38.93  133.7372000 13.2966100 11.8936600
  39.14  133.7372000 13.0106800 11.6482300
  39.34  134.2002000 12.7247400 11.4573400
  39.55  133.7372000 12.6430500 11.4028000
  39.75  133.7372000 12.9289800 11.6755000
  39.96  134.2002000 13.2966100 11.7845800
  40.16  134.2002000 13.2966100 11.6209600
  40.37  133.7372000 13.1944900 11.5118800
  40.57  134.2002000 13.1536400 11.5391500
  40.78  133.7372000 13.3374500 11.7845800
  40.98  134.2002000 13.3987300 11.8118500
  41.18  134.2002000 13.1536400 11.5118800
  41.39  134.2002000 12.9902500 11.3755300
  41.59  133.7372000 12.9902500 11.4028000
  41.80  133.7372000 13.2761800 11.7027700
  42.00  133.7372000 13.4600000 11.8118500
  42.21  134.2002000 13.2149100 11.5118800
  42.41  133.7372000 12.9085600 11.3209900
  42.62  133.7372000 12.7451700 11.2664500
  42.82  134.2002000 12.9902500 11.5936900
  43.03  134.2002000 13.3170300 11.6755000
  43.23  134.2002000 13.3783000 11.5118800
  43.44  134.2002000 13.3578800 11.4028000
  43.64  134.2002000 13.4600000 11.4573400
  43.85  134.2002000 13.7459300 11.7573100
  44.05  134.6632000 13.9501600 11.8118500
  44.26  134.6632000 13.8480500 11.6482300
  44.46  134.6632000 13.7867700 11.5391500
  44.67  134.2002000 13.8684700 11.6482300
  44.87  134.6632000 14.2156700 11.9482000
  45.08  134.6632000 14.3994800 11.9482000
  45.28  134.6632000 14.2156700 11.7027700
  45.49  134.6632000 14.0114300 11.6209600
  45.69  134.6632000 14.0318600 11.7300400
  45.90  134.6632000 14.3586400 12.0300100
  46.10  135.1262000 14.5833000 12.0027400
  46.31  135.1262000 14.4403300 11.7300400
  46.51  135.1262000 14.2361000 11.5391500
  46.72  134.6632000 14.1339800 11.5391500
  46.92  134.6632000 14.3177900 11.8391200
  47.13  135.1262000 14.3790600 11.7845800
  47.33  135.1262000 14.1952500 11.5936900
  47.54  135.1262000 14.0727100 11.4846100
  47.74  135.1262000 14.0931300 11.5664200
  47.95  135.1262000 14.3790600 11.9209300
  48.15  135.1262000 14.4811800 11.9209300
  48.36  135.1262000 14.3177900 11.7573100
  48.56  135.1262000 14.0931300 11.7027700
  48.77  134.6632000 14.0522800 11.8118500
  48.97  135.1262000 14.2769400 12.1663600
  49.18  135.1262000 14.2973700 12.1118200
  49.38  135.1262000 14.0318600 11.8936600
  49.59  135.1262000 13.8888900 11.7845800
  49.79  134.6632000 13.9297400 11.9209300
  50.00  135.1262000 14.3177900 12.2754300
  50.20  134.6632000 14.4811800 12.1936200
  50.41  135.1262000 14.3177900 11.9209300
  50.61  135.1262000 14.1339800 11.8118500
  50.82  135.1262000 14.1339800 11.9482000
  51.02  134.6632000 14.4811800 12.3027000
  51.22  135.1262000 14.5628700 12.2481600
  51.43  134.6632000 14.3586400 12.0027400
  51.63  134.6632000 14.0931300 11.8391200
  51.84  134.6632000 13.9501600 11.8936600
  52.04  135.1262000 14.0931300 12.1663600
  52.25  135.1262000 14.0114300 12.0300100
  52.45  135.1262000 13.7867700 11.7845800
  52.66  135.1262000 13.6233900 11.6482300
  52.86  135.1262000 13.5621100 11.7027700
  53.07  135.5892000 13.8072000 12.0572800
  53.27  135.1262000 13.8276200 11.9209300
  53.48  135.5892000 13.7459300 11.7573100
  53.68  135.1262000 13.7255000 11.6482300
  53.89  135.5892000 13.8684700 11.8118500
  54.09  135.5892000 14.1544000 12.1118200
  54.30  135.5892000 14.0931300 11.9209300
  54.50  135.1262000 13.8480500 11.6755000
  54.71  135.5892000 13.7050800 11.5391500
  54.91  135.1262000 13.7663500 11.6755000
  55.12  135.5892000 14.0318600 11.9482000
  55.32  135.1262000 13.9093200 11.7845800
  55.53  135.5892000 13.6642300 11.5664200
  55.73  135.1262000 13.4804200 11.5118800
  55.94  135.5892000 13.6029600 11.7027700
  56.14  135.5892000 13.9297400 12.0845500
  56.35  135.5892000 13.8684700 11.9209300
  56.55  135.1262000 13.5212700 11.6755000
  56.76  135.1262000 13.2557600 11.5391500
  56.96  135.5892000 13.3170300 11.7027700
  57.17  135.5892000 13.6642300 11.9754700
  57.37  135.5892000 13.8072000 11.8118500
