    .31  116.1424000 14.7058400 12.2208900
    .61  116.1424000 15.0121900 12.1118200
    .92  114.2904000 14.7058400 12.0300100
   1.23  118.9206000 14.6445700 12.0572800
   1.54  112.9013000 14.9509200 12.1118200
   1.84  115.6794000 14.9509200 11.8118500
   2.15  116.6055000 14.7671100 11.8663900
   2.46  115.6794000 15.0938900 12.0300100
   2.77  114.2904000 15.2777000 11.8118500
   3.07  114.7534000 14.8896500 11.8936600
   3.38  117.0685000 15.0530400 12.0300100
   3.69  111.5123000 15.2777000 12.0300100
   3.99  116.1424000 14.9100800 11.9209300
   4.30  114.7534000 14.8488000 12.0572800
   4.61  113.8274000 15.1551600 12.1118200
   4.92  112.4383000 15.0530400 11.9754700
   5.22  115.2164000 14.6037200 12.0845500
   5.53  114.7534000 14.8283800 12.1118200
   5.84  111.0492000 14.9713500 12.0300100
   6.15  116.1424000 14.3790600 12.0572800
   6.45  112.9013000 14.5424500 12.1390800
   6.76  113.3643000 14.9509200 12.0300100
   7.07  111.5123000 14.6037200 12.0027400
   7.37  114.7534000 14.5424500 12.1118200
   7.68  111.9753000 14.8896500 12.1390800
   7.99  111.0492000 14.8488000 11.9754700
   8.30  115.6794000 14.4607600 12.0300100
   8.60  111.5123000 14.7671100 12.1390800
   8.91  112.9013000 14.9509200 11.9754700
   9.22  111.9753000 14.5016000 12.0300100
   9.53  115.2164000 14.7058400 12.1118200
   9.83  110.5862000 15.0326200 12.0300100
  10.14  112.9013000 14.6649900 12.0027400
  10.45  115.2164000 14.7875300 12.0845500
  10.75  110.5862000 15.0734700 12.1390800
  11.06  113.8274000 15.0326200 11.8663900
  11.37  112.9013000 14.9100800 11.9754700
  11.68  115.2164000 15.1143100 12.0845500
  11.98  110.5862000 15.2572800 11.8936600
  12.29  115.2164000 14.9509200 11.8936600
  12.60  114.7534000 15.1143100 12.0027400
  12.91  111.9753000 15.3185500 12.0027400
  13.21  115.6794000 15.1755800 11.8391200
  13.52  114.2904000 15.2368500 12.0300100
  13.83  114.7534000 15.4819400 12.0300100
  14.13  111.0492000 15.3798200 11.8118500
  14.44  117.0685000 15.1347400 11.8936600
  14.75  112.4383000 15.3798200 12.0027400
  15.06  112.9013000 15.4819400 11.7845800
  15.36  114.7534000 15.2164300 11.7573100
  15.67  114.2904000 15.3594000 11.8936600
  15.98  112.9013000 15.5636300 11.7573100
  16.29  112.4383000 15.3594000 11.6482300
  16.59  117.0685000 15.3798200 11.7845800
  16.90  111.0492000 15.5840600 11.8663900
  17.21  114.7534000 15.5023600 11.5664200
  17.51  114.2904000 15.3389700 11.7573100
  17.82  114.2904000 15.4819400 11.9482000
  18.13  112.4383000 15.5227900 11.7573100
  18.44  114.2904000 15.2164300 11.8391200
  18.74  116.1424000 15.3798200 11.9209300
  19.05  110.5862000 15.5432100 11.7845800
  19.36  116.1424000 15.2777000 11.6755000
  19.66  114.2904000 15.3389700 11.8118500
  19.97  114.2904000 15.6044800 11.8391200
  20.28  112.4383000 15.6044800 11.5118800
  20.59  116.6055000 15.4819400 11.7027700
  20.89  114.7534000 15.6861800 11.9209300
  21.20  112.4383000 15.7474500 11.6482300
  21.51  117.0685000 15.6044800 11.5664200
  21.82  114.2904000 15.7066000 11.7845800
  22.12  115.2164000 15.8495600 11.7027700
  22.43  113.3643000 15.5840600 11.5664200
  22.74  117.9945000 15.5840600 11.7573100
  23.04  112.9013000 15.7474500 11.8663900
  23.35  115.2164000 15.5432100 11.7027700
  23.66  117.5315000 15.3185500 11.8663900
  23.97  114.7534000 15.5840600 11.9754700
  24.27  115.2164000 15.7066000 11.7027700
  24.58  115.6794000 15.4615100 11.7300400
  24.89  117.9945000 15.6249000 11.8118500
  25.20  111.5123000 15.7882900 11.7027700
  25.50  117.5315000 15.5227900 11.5391500
  25.81  115.6794000 15.6044800 11.7573100
  26.12  114.7534000 15.8087200 11.8936600
  26.42  114.2904000 15.7678700 11.5936900
  26.73  117.0685000 15.7474500 11.8118500
  27.04  116.1424000 15.8904100 12.0027400
  27.35  112.9013000 15.8291400 11.7573100
  27.65  118.9206000 15.5432100 11.7845800
  27.96  114.7534000 15.6249000 11.9754700
  28.27  115.6794000 15.6861800 11.8936600
  28.58  114.2904000 15.2777000 11.8663900
  28.88  117.5315000 15.1755800 11.9754700
  29.19  112.9013000 15.4206700 11.9482000
  29.50  114.2904000 15.2777000 11.7573100
  29.80  117.5315000 15.0734700 11.7845800
  30.11  113.3643000 15.4615100 11.9754700
  30.42  115.6794000 15.5636300 11.5936900
  30.73  115.2164000 15.3389700 11.6482300
  31.03  117.9945000 15.5432100 11.9482000
  31.34  112.4383000 15.6861800 11.8391200
  31.65  117.5315000 15.3798200 11.7573100
  31.96  116.6055000 15.3798200 11.9482000
  32.26  114.2904000 15.5227900 12.0300100
  32.57  116.1424000 15.2368500 11.8663900
  32.88  117.0685000 14.8896500 12.0572800
  33.18  117.5315000 15.1143100 12.1118200
  33.49  113.8274000 15.0530400 12.0027400
  33.80  119.8466000 14.3790600 12.0572800
  34.11  115.6794000 14.6445700 12.1118200
  34.41  116.6055000 14.9917700 11.9209300
  34.72  117.0685000 14.5220300 11.8663900
  35.03  119.3836000 14.6649900 11.9754700
  35.34  116.1424000 15.0734700 11.9482000
  35.64  116.6055000 14.9509200 11.7573100
  35.95  120.7726000 14.8488000 11.8391200
  36.26  115.2164000 15.1347400 12.0300100
  36.56  117.9945000 15.1347400 11.7573100
  36.87  116.6055000 14.8079600 11.8936600
  37.18  119.3836000 14.9917700 12.0845500
  37.49  114.2904000 15.1551600 11.8936600
  37.79  119.3836000 14.5833000 11.8663900
  38.10  118.4575000 14.6037200 12.0300100
  38.41  116.1424000 14.9509200 12.0300100
  38.72  118.4575000 14.6241400 11.8936600
  39.02  118.9206000 14.2973700 12.0300100
  39.33  119.3836000 14.7262600 12.1118200
  39.64  115.6794000 14.6241400 12.0300100
