    .15  118.9206000 13.4395700 13.7752700
    .29  119.8466000 13.7459300 14.0479700
    .44  119.8466000 13.5416900 13.6934600
    .59  117.5315000 13.2761800 13.3389500
    .73  115.2164000 13.1536400 13.2844200
    .88  115.6794000 13.1536400 13.3662300
   1.02  117.0685000 13.2761800 13.6116500
   1.17  118.9206000 13.6642300 14.1025100
   1.32  120.3096000 14.1135500 14.4842900
   1.46  119.8466000 14.0318600 14.2115900
   1.61  117.9945000 13.7459300 13.9116200
   1.76  116.1424000 13.5621100 13.7480000
   1.90  115.6794000 13.5008400 13.7207300
   2.05  116.6055000 13.5825400 13.8843500
   2.20  117.9945000 13.8276200 14.2388600
   2.34  118.9206000 14.1952500 14.6206400
   2.49  118.4575000 14.1339800 14.3479400
   2.63  116.6055000 13.8276200 14.0207000
   2.78  115.2164000 13.6846600 13.8843500
   2.93  115.2164000 13.6438100 13.8843500
   3.07  115.6794000 13.7050800 14.0207000
   3.22  117.0685000 14.0114300 14.4297500
   3.37  117.9945000 14.3790600 14.8387900
   3.51  117.5315000 14.3382100 14.5933600
   3.66  116.1424000 14.0318600 14.2115900
   3.81  114.7534000 13.8480500 14.0752400
   3.95  115.2164000 13.8480500 14.1025100
   4.10  115.6794000 13.9910100 14.3206700
   4.24  116.6055000 14.3177900 14.7842500
   4.39  117.5315000 14.7466900 15.2478400
   4.54  117.5315000 14.7671100 15.0569500
   4.68  116.1424000 14.3790600 14.6206400
   4.83  114.7534000 14.0727100 14.3479400
   4.98  114.2904000 14.0114300 14.2661300
   5.12  115.2164000 14.0727100 14.4024800
   5.27  116.1424000 14.3790600 14.8115200
   5.42  116.6055000 14.7671100 15.2751100
   5.56  117.0685000 14.8079600 15.1660300
   5.71  117.0685000 14.4403300 14.7024400
   5.85  116.1424000 14.1339800 14.3752100
   6.00  116.6055000 14.0318600 14.2934000
   6.15  117.0685000 14.0522800 14.3479400
   6.29  117.5315000 14.2973700 14.7024400
   6.44  118.4575000 14.6854200 15.1933000
   6.59  119.3836000 14.9100800 15.2478400
   6.73  118.4575000 14.6241400 14.8387900
   6.88  117.5315000 14.3586400 14.5933600
   7.02  117.0685000 14.1952500 14.4570200
   7.17  117.0685000 14.1952500 14.4570200
   7.32  117.5315000 14.3382100 14.7297100
   7.46  118.4575000 14.6445700 15.1387600
   7.61  118.9206000 14.8283800 15.2205700
   7.76  119.3836000 14.5833000 14.8387900
   7.90  118.9206000 14.3586400 14.5661000
   8.05  117.9945000 14.2973700 14.5115600
   8.20  117.5315000 14.2973700 14.5661000
   8.34  117.9945000 14.4199100 14.7842500
   8.49  117.9945000 14.7262600 15.1660300
   8.63  118.4575000 14.9100800 15.3023800
   8.78  118.4575000 14.6037200 14.8387900
   8.93  116.6055000 14.2973700 14.4842900
   9.07  116.1424000 14.1748200 14.4024800
   9.22  115.2164000 14.1748200 14.4297500
   9.37  114.2904000 14.3382100 14.7024400
   9.51  114.7534000 14.7058400 15.1660300
   9.66  115.2164000 14.9713500 15.3296500
   9.81  114.7534000 14.6854200 14.8933300
   9.95  114.2904000 14.2973700 14.4570200
  10.10  112.9013000 14.1135500 14.2388600
  10.24  111.9753000 14.0318600 14.2661300
  10.39  111.9753000 14.1339800 14.4842900
  10.54  112.4383000 14.4607600 14.8933300
  10.68  113.8274000 14.8692300 15.3023800
  10.83  114.7534000 14.7466900 14.9751400
  10.98  113.8274000 14.3994800 14.5933600
  11.12  112.9013000 14.2361000 14.4570200
  11.27  112.4383000 14.1748200 14.4297500
  11.42  111.5123000 14.2361000 14.5933600
  11.56  112.4383000 14.5220300 15.0024100
  11.71  114.2904000 14.8283800 15.3569200
  11.85  115.2164000 14.7262600 15.0569500
  12.00  115.2164000 14.4403300 14.7297100
  12.15  113.8274000 14.2769400 14.5933600
  12.29  112.9013000 14.2565200 14.5933600
  12.44  112.9013000 14.2973700 14.7297100
  12.59  113.3643000 14.5016000 15.0296800
  12.73  114.7534000 14.8079600 15.3841900
  12.88  117.0685000 14.7058400 15.0842200
  13.03  116.1424000 14.2769400 14.5933600
  13.17  115.2164000 14.0727100 14.3752100
  13.32  114.2904000 13.9705900 14.3206700
  13.46  113.8274000 14.0318600 14.4297500
  13.61  114.7534000 14.2565200 14.7842500
  13.76  117.0685000 14.5833000 15.1660300
  13.90  118.9206000 14.5833000 14.9478700
  14.05  118.9206000 14.2565200 14.5115600
  14.20  117.0685000 13.9910100 14.2388600
  14.34  115.6794000 13.8480500 14.1297800
  14.49  115.2164000 13.8888900 14.2115900
  14.64  115.6794000 14.0522800 14.5115600
  14.78  117.5315000 14.3790600 14.8933300
  14.93  119.3836000 14.4607600 14.8115200
  15.07  119.3836000 14.1544000 14.3752100
  15.22  117.5315000 13.8888900 14.1297800
  15.37  116.1424000 13.7459300 14.0479700
  15.51  115.6794000 13.7255000 14.1297800
  15.66  116.1424000 13.8888900 14.4024800
  15.81  118.4575000 14.2361000 14.8115200
  15.95  120.3096000 14.4199100 14.8387900
  16.10  120.3096000 14.1952500 14.4570200
  16.25  118.9206000 13.9297400 14.2115900
  16.39  116.6055000 13.7867700 14.1025100
  16.54  116.1424000 13.7663500 14.1297800
  16.68  116.6055000 13.9093200 14.3752100
  16.83  118.4575000 14.1748200 14.7297100
  16.98  120.3096000 14.4199100 14.8115200
  17.12  120.3096000 14.1339800 14.3752100
  17.27  118.4575000 13.8276200 14.1025100
  17.42  117.0685000 13.6642300 13.9388900
  17.56  115.6794000 13.5825400 13.9116200
  17.71  117.0685000 13.6642300 14.1570500
  17.86  119.8466000 13.9910100 14.4842900
  18.00  121.2356000 14.2565200 14.6206400
  18.15  120.7726000 14.0318600 14.2661300
  18.29  118.9206000 13.7255000 13.9388900
  18.44  116.6055000 13.5621100 13.8025400
  18.59  116.1424000 13.5621100 13.8298100
  18.73  117.5315000 13.7050800 14.0752400
  18.88  118.9206000 14.0522800 14.5115600
  19.03  121.6987000 14.4607600 14.8387900
  19.17  121.6987000 14.2769400 14.4297500
  19.32  119.8466000 13.8480500 14.0479700
  19.46  118.4575000 13.6233900 13.8570800
  19.61  117.0685000 13.5008400 13.7207300
  19.76  117.5315000 13.5416900 13.9116200
  19.90  120.7726000 13.8480500 14.2934000
  20.05  121.2356000 14.1952500 14.5933600
  20.20  120.7726000 14.0522800 14.3479400
  20.34  119.8466000 13.6438100 13.9116200
  20.49  117.0685000 13.3987300 13.6661900
  20.64  117.0685000 13.2966100 13.6389200
  20.78  118.4575000 13.2966100 13.7207300
  20.93  119.8466000 13.5416900 14.0752400
  21.07  121.6987000 13.9297400 14.4842900
  21.22  121.6987000 13.9093200 14.2934000
  21.37  119.3836000 13.6233900 13.9934300
  21.51  117.9945000 13.4395700 13.8570800
  21.66  117.0685000 13.3374500 13.8025400
  21.81  117.9945000 13.3987300 13.9116200
  21.95  120.7726000 13.6029600 14.2388600
  22.10  121.2356000 13.9501600 14.6206400
  22.25  121.6987000 13.9910100 14.5115600
  22.39  120.7726000 13.6846600 14.1570500
  22.54  118.4575000 13.5212700 13.9661600
  22.68  118.4575000 13.5008400 13.9934300
  22.83  119.3836000 13.5008400 14.0752400
  22.98  120.7726000 13.7255000 14.4024800
  23.12  122.6247000 14.0727100 14.7569800
  23.27  122.1617000 14.0522800 14.5661000
  23.42  120.3096000 13.6642300 14.1025100
  23.56  118.9206000 13.3783000 13.8298100
  23.71  117.9945000 13.2557600 13.6934600
  23.86  119.3836000 13.2966100 13.7752700
  24.00  120.3096000 13.5212700 14.0752400
  24.15  121.2356000 13.8888900 14.4842900
  24.29  121.2356000 14.0114300 14.4297500
  24.44  119.8466000 13.6029600 13.8843500
  24.59  117.9945000 13.2966100 13.5843800
  24.73  117.5315000 13.1536400 13.4480300
  24.88  117.9945000 13.1332200 13.4480300
  25.03  118.9206000 13.3374500 13.7480000
  25.17  119.8466000 13.6642300 14.1843200
  25.32  119.8466000 13.8684700 14.2934000
  25.47  119.3836000 13.5416900 13.8843500
  25.61  117.0685000 13.2353400 13.5298400
  25.76  116.6055000 13.0923700 13.3934900
  25.90  117.5315000 13.0923700 13.4207600
  26.05  117.9945000 13.2353400 13.6661900
  26.20  118.4575000 13.5621100 14.1297800
  26.34  119.8466000 13.8072000 14.2934000
  26.49  118.4575000 13.5621100 13.8843500
  26.64  117.0685000 13.3170300 13.6389200
  26.78  117.0685000 13.2149100 13.5298400
  26.93  116.6055000 13.2149100 13.5571100
  27.08  117.0685000 13.3783000 13.8570800
  27.22  117.9945000 13.7255000 14.2934000
  27.37  117.9945000 14.0114300 14.5388300
  27.51  117.9945000 13.7867700 14.1297800
  27.66  117.0685000 13.4600000 13.7752700
  27.81  116.6055000 13.3578800 13.6661900
  27.95  117.5315000 13.3578800 13.6934600
  28.10  117.5315000 13.4600000 13.9116200
  28.25  118.4575000 13.7459300 14.3206700
  28.39  119.3836000 14.0318600 14.5933600
  28.54  119.3836000 13.8276200 14.1297800
  28.69  118.4575000 13.5212700 13.7480000
  28.83  117.9945000 13.3374500 13.5843800
  28.98  117.5315000 13.3170300 13.5843800
  29.12  117.5315000 13.4191500 13.7752700
  29.27  117.9945000 13.6846600 14.1843200
  29.42  118.9206000 14.0318600 14.5115600
  29.56  119.8466000 13.9297400 14.1843200
  29.71  119.3836000 13.6233900 13.8298100
  29.86  118.9206000 13.4804200 13.6661900
